shelfmark,title,additional_titles,authors,language,language_codes,date,place,source_file
Ms. Coll. 390 Item 2242,Viṣṇusahasranāmaprāmbhaḥ|विष्णुसहस्रनामस्तोत्रप्रारम्भः,"","",In Sanskrit (Devanāgarī),san,"","",Data/0002/mscoll390_item2242/data/mscoll390_item2242_TEI.xml
Ms. Coll. 764 Item 3,Innocent IV privilege,"","Innocent IV, Pope, ca. 1200-1254",In Latin,lat,"","",Data/0002/mscoll764_item3/data/mscoll764_item3_TEI.xml
Ms. Codex 421,Opere,"La Lucrezia, tragedia, f. 1r|La Cleopatra, f. 89r|Il Medoro, f. 177r|Il Creso, f. 241r","",Italian,"",17--,Italy,Data/0002/mscodex421/data/mscodex421_TEI.xml
Ms. Coll. 742 Folder 90,Diocese of Arezzo nomination,"","",In Latin,lat,"","",Data/0002/mscoll742_f90/data/mscoll742_f90_TEI.xml
Ms. Coll. 390 Item 2626,Śrībhāvārthadīpikāmaṣṭamaskandhe caturviṃśatitamo 'dhyāyaḥ|श्रीभावार्थदीपिकायामष्टमस्कन्धे चतुर्विंशतितमो'ध्यायः,"",Śrīdharasvāmin,In Sanskrit,san,"","",Data/0002/mscoll390_item2626/data/mscoll390_item2626_TEI.xml
Ms. Codex 613,Italian historical miscellany,"","","Italian, with some headings and passages in Latin (many underlined)",ita|lat,between 1750 and 1799,Italy?,Data/0002/mscodex613/data/mscodex613_TEI.xml
Ms. Coll. 390 Item 2414,Pañcīkaraṇavārttika|पञ्चीकरणवार्त्तिक,"",Sureśvarācārya,In Sanskrit,san,"","",Data/0002/mscoll390_item2414/data/mscoll390_item2414_TEI.xml
Ms. Coll. 390 Item 1291,Kaukilyāmaitrāvaruṇaprayoga|कौकिल्यामैत्रावरुणप्रयोग,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item1291/data/mscoll390_item1291_TEI.xml
378.748 POM 3.16,Essay on Pneumonia Typhoides /,Title page,"Hennon, Richard","",eng,1824,"",Data/0002/378_748_pom_3_16/data/378_748_pom_3_16_TEI.xml
378.748 POM 27.9,An Inaugural Dissertation On Uterine Hemorrhage /,Title page,"Curd, Edward, -1742","",eng,1819,"",Data/0002/378_748_pom_27_9/data/378_748_pom_27_9_TEI.xml
Ms. Coll. 390 Item 1057,Vedāntasāraṭīkā|वेदान्तसारटीका,Importer stickers on wooden board,Nr̥siṃhāśrama,In Sanskrit,san,"","",Data/0002/mscoll390_item1057/data/mscoll390_item1057_TEI.xml
Ms. Coll. 742 Folder 64,Pope Pius III bull,"","Pius III, Pope, ca. 1440-1503",In Latin,lat,"","",Data/0002/mscoll742_f64/data/mscoll742_f64_TEI.xml
Ms. Coll. 390 Item 409,Śivamukhyasahasranāmastotra|शिवमुख्यसहस्रनामस्तोत्र,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item409/data/mscoll390_item409_TEI.xml
Ms. Coll. 390 Item 1265,Manīṣāpañcaka|मनीषापञ्चक,"",Śaṅkarācārya,In Sanskrit,san,"","",Data/0002/mscoll390_item1265/data/mscoll390_item1265_TEI.xml
Ms. Coll. 390 Item 851,Kenopaniṣadbhāṣya|प्रश्नोपनिषद्भाष्य,"",Śaṅkarācārya,In Sanskrit,san,"","",Data/0002/mscoll390_item851/data/mscoll390_item851_TEI.xml
Ms. Coll. 390 Item 2084,Avayavanirūpaṇa|अवयवनिरूपण,"",Raghunātha Śiromaṇi,In Sanskrit,san,"","",Data/0002/mscoll390_item2084/data/mscoll390_item2084_TEI.xml
Ms. Codex 283,Lettere scritte da donna di senno e di spirito per ammaestramento del suo amante,"","",Italian,"",between 1600 and 1750?,Italy,Data/0002/mscodex283/data/mscodex283_TEI.xml
Halper 321,Dialectic poem between wine and water,"","",Hebrew,heb,"",Orient,Data/0002/h321/data/h321_TEI.xml
Ms. Coll. 390 Item 1601,Śrautasiddhānta|श्रौतसिद्धान्त,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item1601/data/mscoll390_item1601_TEI.xml
378.748 POM 7.26,An Essay on Cynanche Trachealis or Croup /,Title page,"Humphrey, Cornell","",eng,1823,"",Data/0002/378_748_pom_7_26/data/378_748_pom_7_26_TEI.xml
Halper 113,"Midrash David on Genesis, colophon","","",Hebrew,heb,"",Orient,Data/0002/h113/data/h113_TEI.xml
Ms. Coll. 390 Item 1433,Kadalīvratakathā|कदलीव्रतकथा,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item1433/data/mscoll390_item1433_TEI.xml
Ms. Coll. 733,Documents concerning Genoa and Finale Ligure,"Foscari, Francesco, [Duke of Venice] (16th-century copy of a 1456 letter)|Maximilian I, Holy Roman Emperor (16th-century copy of a 1496 document)|Diplomatic correspondence (16th-century copy of a 1567 letter)|Discourse to people of Genoa (1614)|Supremo Consejo de Espa?a (17th century)|History of Finale (17th century)|Account of purchase of Finale (1611)|Verdict (1615)","Campofregoso, Petrus de, Duke of Genoa|Foscari, Francesco, 1373-1457|Maximilian I, Holy Roman Emperor, 1459-1519","In Latin, with some documents in Italian and Spanish",ita|lat|spa,"","",Data/0002/mscoll733/data/mscoll733_TEI.xml
Ms. Coll. 764 Item 149,Ghilo di Francesco legal decision,"","Francesco, Ghilo di|Lorini, Bartolomeo",In Latin,lat,"","",Data/0002/mscoll764_item149/data/mscoll764_item149_TEI.xml
Ms. Codex 1575,"Raggioni che assistono al publico Banco per non permettersi in esso pignorazione di grani, e per non potersi fare dallo stesso al Senato il rilascio de' supposti interessi","","","Italian, with a few passages in Latin",ita|lat,1774,Sicily,Data/0002/mscodex1575/data/mscodex1575_TEI.xml
Ms. Coll. 390 Item 2619,Śrībhāgavate Mahāpurāṇe saptamaskandhe|श्रीभागवते महापुराणे सप्तमस्कन्धे,"",Śrīdharasvāmin,In Sanskrit,san,"","",Data/0002/mscoll390_item2619/data/mscoll390_item2619_TEI.xml
378.748 POM 25.4,An Inaugural Thesis on Mania à Potu /,Title page,"Kerr, Robert Ewing","",eng,1825,"",Data/0002/378_748_pom_25_4/data/378_748_pom_25_4_TEI.xml
Ms. Coll. 390 Item 294,Pratiṣṭhāpaddhati|प्रतिष्ठापद्धति,"",Trivikrama,In Sanskrit,san,"","",Data/0002/mscoll390_item294/data/mscoll390_item294_TEI.xml
Ms. Codex 846,Tractatus philosophicus in universum Aristotelis Organum,"Institutionum dialecticarum sive prolusionum ad philosophiam rationalem tractatus tripartus, f. 1r|Tractatus philosophicum in universum Aristotelis Organum, f. 37r|Catalogus eorum, f. 201r|Definitiones, f. 202r|Assertiones Logicae universae, f. 203r","",Latin,"",1641-1642,Prague,Data/0002/mscodex846/data/mscodex846_TEI.xml
Ms. Coll. 764 Item 182,Giovanni Battista di Lorenzo power of attorney,"","Onorato, Luigi di",In Latin,lat,"","",Data/0002/mscoll764_item182/data/mscoll764_item182_TEI.xml
Ms. Codex 1111,Der Stadt Olmütz Gerichts Proces undt Stadt Rechtenn,"","","German, with some passages or citations in Latin (f. 1v-2r, 3v, 4r-4v, 6r, 11v, 13v, 48r, 61v, 62r, 68v, 71r, 71v, 72r, 74v), as well as Latin terms scattered throughout",ger|lat,16--,"Olmütz i.e. Olomouc, Czech Republic",Data/0002/mscodex1111/data/mscodex1111_TEI.xml
378.748 POM 14.12,An Inaugural Dissertation submitted to the Faculty of the University of Pennsylvania /,Title page,"Hort, William Peter","",eng,1824,"",Data/0002/378_748_pom_14_12/data/378_748_pom_14_12_TEI.xml
Ms. Coll. 700 Item 68,Libro en pocomchi y kekchi,"","Aguilera, Hippolito de","Kekchi and Pokonchi, with some Latin and Spanish",myn|spa|lat,17--,"Verapaz, Guatemala",Data/0002/mscoll700_item68/data/mscoll700_item68_TEI.xml
Oversize Ms. Codex 1323,Ledger of Medici debtors and creditors,"","",Italian,ita,1521-1534,Italy,Data/0002/mscodex1323/data/mscodex1323_TEI.xml
Ms. Coll. 591 Folder 4,Psalter leaf,"","",In Latin,lat,"","",Data/0002/mscoll591_f4/data/mscoll591_f4_TEI.xml
Ms. Codex 248,Statutum Viterbiense,"Table of contents, f. i recto","",Italian,"",between 1600 and 1699,Italy,Data/0002/mscodex248/data/mscodex248_TEI.xml
Ms. Coll. 390 Item 2289,Siddhigaṇeśapūjana|सिद्धिगणेशपूजन,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item2289/data/mscoll390_item2289_TEI.xml
Ms. Coll. 764 Item 176,Simone di San Miniato will,"","Anselmo, Giovanni di",In Latin,lat,"","",Data/0002/mscoll764_item176/data/mscoll764_item176_TEI.xml
Ms. Codex 21 v.4,al-Fatḥ al-rabbānī fīmā dhahala ʻanhu al-Zurqānī.|الفتح الرباني فيما ذهل عنه الزرقاني,"al-Fatḥ al-rabbānī fīmā dhahala ʻanhu al-Zurqānī, al-rubʻ al-rābiʻ","Bannānī, Muḥammad ibn al-Ḥasan, 1720 or 1721-1780|Zurqānī, ʻAbd al-Bāqī ibn Yūsuf, 1611-1688|Khalīl ibn Isḥāq al-Jundī, -1365?",Arabic,ara,between A.H. 1268 (1851) and 1276 (1859),North Africa,Data/0002/mscodex21_v4/data/mscodex21_v4_TEI.xml
378.748 POM 7.19,Cynanche trachealis.,"","Taylor, Robert Earl","",eng,1821,"",Data/0002/378_748_pom_7_19/data/378_748_pom_7_19_TEI.xml
CAJS Rar Ms 110,Samaritan prayers for the Pentecost.|תפילת חג הקציר,"",Ṭahor ben Yaʻaḳov ben Yishmeʾel,Samaritan,sam,"","",Data/0002/kcajs_rar_ms110/data/kcajs_rar_ms110_TEI.xml
378.748 POM 45.12,An Inaugural Dissertation On Dysenteria :,Title page,"Stith, Nicholas L. B","",eng,1829,"",Data/0002/378_748_pom_45_12/data/378_748_pom_45_12_TEI.xml
Ms. Coll. 390 Item 436,Bhaktāmaraprabhava|भक्तामरप्रभव,"",Mānatuṅga,In Prakrit,pra,"","",Data/0002/mscoll390_item436/data/mscoll390_item436_TEI.xml
Ms. Coll. 390 Item 604,Vakyasudhāṭippaṇa|वक्यसुधाटिप्पण,"",Maheśvara,In Marathi,mar,"","",Data/0002/mscoll390_item604/data/mscoll390_item604_TEI.xml
Ms. Coll. 390 Item 1068,Aitareyabhāṣyaṭīkā|ऐतरेयभाष्यटीका,"",Abhinavanārāyaṇendrasarasvatī,In Sanskrit,san,"","",Data/0002/mscoll390_item1068/data/mscoll390_item1068_TEI.xml
378.748 POM 10.22,On Dysentery /,Title page,"Lorain, Henry","",eng,1825,"",Data/0002/378_748_pom_10_22/data/378_748_pom_10_22_TEI.xml
Ms. Coll. 390 Item 1854,Praśnatantra|प्रश्नतन्त्र,"","Nīlakaṇṭha, active 16th century",In Sanskrit,san,"","",Data/0002/mscoll390_item1854/data/mscoll390_item1854_TEI.xml
Halper 114,Early midrash on Genesis 40:18-41:3; 46:28-47:1,"","","Hebrew; Greek, Ancient (to 1453)",heb|grc,"",Orient,Data/0002/h114/data/h114_TEI.xml
Ms. Coll. 390 Item 1434,Bhūtaśuddhi,"","",In Sanskrit (Devanāgarī),san,"","",Data/0002/mscoll390_item1434/data/mscoll390_item1434_TEI.xml
Ms. Coll. 390 Item 258,Cidasthimāla|चिदस्थिमाल,"","Vaidyanātha Pāyaguṇḍe, 18th cent",In Sanskrit,san,"","",Data/0002/mscoll390_item258/data/mscoll390_item258_TEI.xml
Ms. Coll. 390 Item 2083,Vyutpattivāda|व्युत्पत्तिवाद,"","Gadādharabhaṭṭācārya, active 17th century-18th century",In Sanskrit,san,"","",Data/0002/mscoll390_item2083/data/mscoll390_item2083_TEI.xml
Ms. Coll. 390 Item 856,Māṇḍūkyopaniṣad|माण्डूक्योपनिषद्,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item856/data/mscoll390_item856_TEI.xml
Ms. Codex 284,Memoranda and account book,"","Orlandi, Gisberto",Italian,ita,1554-1620,Italy,Data/0002/mscodex284/data/mscodex284_TEI.xml
Halper 326,Baḳashah,"","",Hebrew,heb,"",Orient,Data/0002/h326/data/h326_TEI.xml
Ms. Coll. 390 Item 1606,Manuṭīkā.|मनुटीका,"",Govindarāja (Son of Mādhava Bhaṭṭa),In Sanskrit,san,"","",Data/0002/mscoll390_item1606/data/mscoll390_item1606_TEI.xml
378.748 POM 7.21,An inaugural essay on Cynanche Trachealis. :,Title page,"Lane, Levin B","",eng,1821,"",Data/0002/378_748_pom_7_21/data/378_748_pom_7_21_TEI.xml
Ms. Coll. 390 Item 1262,Laghuvākyavṛtti|लघुवाक्यवृत्ति,"",Śaṅkarācārya,In Sanskrit,san,"","",Data/0002/mscoll390_item1262/data/mscoll390_item1262_TEI.xml
Ms. Coll. 390 Item 1050,Brahmānanda.|ब्रह्मानन्द,"","Mādhava, -1386|Rāmakr̥ṣṇa|Rāmakr̥ṣṇa",In Sanskrit,san,"","",Data/0002/mscoll390_item1050/data/mscoll390_item1050_TEI.xml
Ms. Coll. 742 Folder 63,Pope Pius III bull,"","Pius III, Pope, ca. 1440-1503",In Latin,lat,"","",Data/0002/mscoll742_f63/data/mscoll742_f63_TEI.xml
Ms. Coll. 196,Letters addressed to Pietro Vettori :,"Letters addressed to Pietro Vettori, Item 1, f. 1r|Transmitting|On Vettori's commentary to Demetrius' Liber de elocutione, Item 3, f. 1r|On business affairs in France, Item 4, f. 1r|Describing trip from Bologna to Carcassone, Item 5, f. 1r|On translation of Cicero into Tuscan, Item 6, f. 1r|On Vettori's reputation in France, Item 7, f. 1r","Vettori, Pietro, 1499-1585|Alamanni, Luca|Dovizi, Marco Antonio|Minutoli, Giovanni Battista|Rucellai, Carlo|Ubaldini, Lelio",In Italian,ita,"","",Data/0002/mscoll196/data/mscoll196_TEI.xml
Ms. Codex 614,Latin miscellany,"Regula, f. 1v|Scribal note, f. 58r|Musical intervals and scales, f. 58v|De consolatione theologie, f. 63r|Sermo de vanitate, f. 187r|Excerpta ex orologio sapiencie, f. 192r|De proprietate monachorum, f. 197r|Treatise on rondeaux, ballades, virelais, etc., f. 207r|De musica, f. 207v|Confessionale, f. 217r|De diversis temptationibus, f. 235r","Augustine, of Hippo, Saint, 354-430|Benedict, Saint, Abbot of Monte Cassino|Gerson, Jean, 1363-1429|Heinrich, von Langenstein, approximately 1325-1397|Johannes, de Tambaco, 1288-1372|Nicolaus, von Dinkelsbühl, ca. 1360-1433|Seuse, Heinrich, 1295-1366",Latin,lat,from 1437 to 1499,Germany,Data/0002/mscodex614/data/mscodex614_TEI.xml
Ms. Coll. 390 Item 2413,Rudrāṣṭakastotra|रुद्राष्टकस्तोत्र,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item2413/data/mscoll390_item2413_TEI.xml
378.748 POM 3.11,An Inaugural Essay on Pneumonia :,Title page,"Turner, Nathan","",eng,1822,"",Data/0002/378_748_pom_3_11/data/378_748_pom_3_11_TEI.xml
Ms. Coll. 390 Item 1296,Paśubandhaprayoga|पशुबन्धप्रयोग,"",Baudhāyana,In Sanskrit,san,"","",Data/0002/mscoll390_item1296/data/mscoll390_item1296_TEI.xml
Ms. Coll. 225,Benjamin Rush lecture notes,"","Rush, Benjamin, 1745-1813|Bartram, Moses, d. 1791|Overton, James|Spangler, John|Kuhn, Adam, 1741-1817|Curtin, Constans|Simonton, William|Gilder, D|Shippen, William, 1736?-1808|Maxwell, Robert G","",eng,1783-1810,"",Data/0002/mscoll225_box1_f7/data/mscoll225_box1_f7_TEI.xml
Ms. Coll. 390 Item 1898,Koṣṭhakā|कोष्ठका,"Table, f. 1r|Table, f. 1v-2r","",In Sanskrit,san,"","",Data/0002/mscoll390_item1898/data/mscoll390_item1898_TEI.xml
Ms. Codex 426,"Supplica alla maestà del re, nostro signore","","",Italian,"",circa 1760,Brindisi,Data/0002/mscodex426/data/mscodex426_TEI.xml
Ms. Coll. 742 Folder 97,M. A. Cicognini privilege,"","Cicognini, M. A|Piccolomini, Scipione",In Italian,ita,"","",Data/0002/mscoll742_f97/data/mscoll742_f97_TEI.xml
Ms. Coll. 390 Item 2621,Śrībhāvārthadīpikāyāṃ pañcamaskandhe narakānuvarṇanaṃ nāmaṣaḍviṃśatitamodhyāyaḥ|श्रीभावार्थदीपिकायां  पंचमास्कन्धे नरकानुवर्णनं नामषड्विंशतितामोध्यायः,"",Śrīdharasvāmin,In Sanskrit,san,"","",Data/0002/mscoll390_item2621/data/mscoll390_item2621_TEI.xml
Ms. Coll. 700 Item 50,Chilam Balam,"","Pérez, Juan Pío, 1798-1859","Maya, with Spanish notes and Spanish translations of shorter documents",myn|spa,1870,Mérida,Data/0002/mscoll700_item50/data/mscoll700_item50_TEI.xml
Ms. Codex 1915,Natāj al-fikr fī kashf asrār al-Mukhtaṣar.|نتاج الفكر في كشف اسرار المختصر,Natāj al-fikr fī kashf asrār al-Mukhtaṣar.,"Zurqānī, ʻAbd al-Bāqī ibn Yūsuf, 1611-1688",Arabic,ara,between 1830 and 1899?,North Africa,Data/0002/mscodex1915/data/mscodex1915_TEI.xml
Ms. Coll. 390 Item 2245,Śivasahasranāma|शिवसहस्रनाम,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item2245/data/mscoll390_item2245_TEI.xml
Ms. Codex 1129,Disputationes in duos libros Aristotelis De ortu et interitu sive De generatione et corruptione,"Tabula sententiarum et adnotabilium, f. 1r|Disputationes in duos libros Aristotelis De ortu et interitu sive De generatione et corruptione, f. 10r|Disputationes in libros De anima, f. 151r|In Aristotelis Metafisicam, f. 246v|In libros ethicorum Aristotelis sive De moribus ad Nichomachum, f. 259r|Tractatus de horologiis solaribus cum corum figuris quas sequens pagina distincte indicat, f. 275r","",Latin,lat,1680,Genoa,Data/0002/mscodex1129/data/mscodex1129_TEI.xml
Ms. Coll. 390 Item 2077,SarvānnigūḍhamaṇidIdhita|सर्वान्निगूढमणिदीधित,"","Bhaṭṭācāryya, Bhavānanda Siddhāntavāgīśa",In Sanskrit,san,"","",Data/0002/mscoll390_item2077/data/mscoll390_item2077_TEI.xml
Ms. Codex 270,Libro di Santo Justo Paladino.,"","",Italian,ita,14--,Italy,Data/0002/mscodex270/data/mscodex270_TEI.xml
Ms. Coll. 390 Item 603,Tattvacintāmaṇidīdhiti|तत्त्वचिन्तामणि दीधिति,"",Raghunātha Śiromaṇi,In Sanskrit,san,"","",Data/0002/mscoll390_item603/data/mscoll390_item603_TEI.xml
Ms. Codex 1586,Ledger,"","","","",1773-1797,"Hartford County, Conn.?",Data/0002/mscodex1586/data/mscodex1586_TEI.xml
378.748 POM 10.25,An inaugural essay on the Dysentery of Lycoming Penna. in 1824. /,Title page,"Rankin, James","",eng,1825,"",Data/0002/378_748_pom_10_25/data/378_748_pom_10_25_TEI.xml
Ms. Coll. 390 Item 1853,Nīlakaṇṭhīṭīkā|नीलकण्ठीटीका,"Table, f. 2r|Table, f. 6v","",In Sanskrit,san,"","",Data/0002/mscoll390_item1853/data/mscoll390_item1853_TEI.xml
378.748 POM 45.15,An Essay on the Acute Stage of Dysentery :,Title page,"Fairfax, Orlando","",eng,1829,"",Data/0002/378_748_pom_45_15/data/378_748_pom_45_15_TEI.xml
Ms. Coll. 390 Item 431,Sumukhīmātaṃgīkavaca|सुमुखीमातंगीकवच,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item431/data/mscoll390_item431_TEI.xml
Halper 319,Panegyric poem in honor of an unspecified bridegroom,"","",Judeo-Arabic,jrb,"",Orient,Data/0002/h319/data/h319_TEI.xml
Ms. Coll. 390 Item 1639,Tithinirṇaya|तिथिनिर्णय,"",Bhaṭṭojī Dīkṣita,In Sanskrit,san,"","",Data/0002/mscoll390_item1639/data/mscoll390_item1639_TEI.xml
Ms. Codex 21 v.3,al-Fatḥ al-rabbānī fīmā dhahala ʻanhu al-Zurqānī.|الفتح الرباني فيما ذهل عنه الزرقاني,"al-Fatḥ al-rabbānī fīmā dhahala ʻanhu al-Zurqānī, al-rubʻ al-thālith","Bannānī, Muḥammad ibn al-Ḥasan, 1720 or 1721-1780|Zurqānī, ʻAbd al-Bāqī ibn Yūsuf, 1611-1688|Khalīl ibn Isḥāq al-Jundī, -1365?",Arabic,ara,between A.H. 1268 (1851) and 1276 (1859),North Africa,Data/0002/mscodex21_v3/data/mscodex21_v3_TEI.xml
CAJS Rar Ms 117,Samaritan prayer book for the eighth day of Sukkoth or Shemini Atseret.|צלות לילת מועד השמיני,"",Ibrahim ben Yusuf ben Abdallatif al-Shirrawi al-Danafi,Samaritan,sam,"","",Data/0002/kcajs_rar_ms117/data/kcajs_rar_ms117_TEI.xml
Ms. Coll. 390 Item 869,Six early upaniṣads,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item869/data/mscoll390_item869_TEI.xml
